Sector,Exposure_INR_Cr,Maturity_Years,Interest_Rate,LGD,Carbon_Intensity,Transition_Readiness,Base_PD,Current_RWA,Current_Capital,Stressed_PD,Stressed_RWA,Stressed_Capital,Net_Income,Optimized_Retention,Strategy
Steel & Cement,51.749816999212605,6.393693583057498,0.0920705139373327,0.45,1448.912420537858,0.2392103088027733,0.04088815189848103,97.13135307169317,10.198792072527782,0.23018942133485648,145.80842444515977,15.309884566741776,-0.5958849458746398,1.0,Hold
Pharma,55.022576077763865,5.623370696937744,0.0848038041517379,0.45,208.95570056842337,0.6853514592984242,0.0574759690881441,106.92243648292073,11.226855830706675,0.0733473801040492,114.76590808107812,12.050420348513203,2.8500309547769156,1.0,Hold
IT Services,113.09467838521913,3.5936607336357653,0.1084671907906714,0.45,14.3507507139072,0.7817385281243109,0.056250066515866545,191.1577375029543,20.0715624378102,0.05699005341460442,191.95893308001908,20.155687973402003,9.366689764882668,1.0,Hold
Infra & Roads,230.63551521403875,1.058179220107395,0.0805981540840711,0.45,239.9805813028122,0.3709662485923184,0.04031427743839084,282.3538221493786,29.64715132568475,0.06587412269405647,341.51416660173606,35.85898749318228,11.751986290412788,1.0,Hold
Power (Thermal),444.2118336543178,5.466152997107326,0.0850859692655799,0.45,908.657622936356,0.2131707409400754,0.08953882902222435,976.4583049695583,102.52812202180361,0.35840828992902807,1188.8844685918268,124.83286920214181,-33.84794722410869,0.0,Exit
Power (Thermal),56.609977986357634,3.570633897060188,0.1284575521737785,0.45,1056.9913435410972,0.4468389465748879,0.03000003261922688,80.21886856816607,8.422981199657437,0.10367060479856673,117.75021627781832,12.363772709170924,4.631023405773328,1.0,Hold
Power (Thermal),890.0042898328024,7.611474706394816,0.1262884006915764,0.45,1054.839988781354,0.1769398750477935,0.10638109771213833,2280.9369845802485,239.49838338092607,0.4942919279430211,2199.0728036467713,230.90264438291098,-85.56765296293003,0.0,Exit
Pharma,107.195222214503,1.2155163874343513,0.1349083292242937,0.45,229.601841290999,0.8330180491093896,0.017732162578751376,101.36323161567957,10.643139319646354,0.020587489842665275,106.62823695052317,11.195964879804933,13.468432082949994,1.0,Hold
Infra & Roads,144.65610658068013,6.263450301752118,0.1312709261546449,0.45,159.6204329950852,0.4450361599067901,0.057042309134354506,291.5264457846713,30.610276807390484,0.07826495657705039,318.5755963145211,33.45043761302471,13.894464329706956,1.0,Hold
IT Services,60.5425234463041,9.473268137554587,0.1209905337943891,0.45,16.49124778934607,0.9456397442954988,0.019018825286952406,122.38860023169696,12.85080302432818,0.019090434349358438,122.45319241893637,12.857585203988318,6.804969847889377,1.0,Hold
Power (Thermal),8.092289442801949,2.5696834040034955,0.0831399714380397,0.45,1011.4944639031378,0.312103977469867,0.02570921188225494,10.031806811881436,1.0533397152475508,0.10084111025541982,15.738688302309987,1.6525622717425485,0.30557675977874166,1.0,Hold
Pharma,428.7416296611027,5.244845416755358,0.1269709170791994,0.45,236.97726035979696,0.5989931703668988,0.020877872695814873,647.77331204801,68.01619776504104,0.029210730658649847,692.724046985408,72.73602493346783,48.80198258831921,1.0,Hold
IT Services,359.3197557163502,1.8227979263542435,0.1307306486504336,0.45,18.03454899649269,0.8339315710726002,0.09947499903446817,664.3151761723586,69.75309349809766,0.10072628218686655,667.5493015472755,70.09267666246393,30.687280338393336,1.0,Hold
